,region,UF,city,lat,lon,temperature,altitude
0,CO,MS,JARDIM,"-21,4786111","-56,13777777",25.587871325227024,-56.13777777
0,S,PR,INACIO MARTINS,"-25,567879","-51,077946",16.47703779599271,-51.077946
0,SE,MG,SACRAMENTO,"-19,87527777","-47,43416666",22.158299180327866,-47.43416666
0,NE,PI,ALVORADA DO GURGUEIA,"-8,44166666","-43,86555555",26.999316939890715,-43.86555555
0,SE,SP,PRADOPOLIS,"-21,33833333","-48,11388888",22.48789845173042,-48.11388888
0,S,PR,NOVA TEBAS,"-24,43722221","-51,96305555",21.00990031717263,-51.96305555
0,NE,PB,PATOS,"-7,07972221","-37,27277777",27.60874316939891,-37.27277777
0,S,RS,ERECHIM,"-27,65771","-52,305805",18.260047928791508,-52.305805
0,NE,SE,NOSSA SENHORA DA GLORIA,"-10,20777777","-37,43194443",25.123884335154827,-37.43194443
0,NE,RN,MACAU,"-5,15111111","-36,57305554",29.052397835417054,-36.57305554
0,SE,MG,TIMOTEO,"-19,57388888","-42,62249999",22.130532786885244,-42.62249999
0,CO,MT,TANGARA DA SERRA,"-14,65","-57,43166666",25.493172282263192,-57.43166666
0,S,RS,CAMAQUA,"-30,807953","-51,83424",18.49709107699411,-51.83424
0,N,TO,SANTA ROSA DO TOCANTINS,"-11,429018","-48,184889",26.02818192232787,-48.184889
0,SE,MG,SAO JOAO DEL REI,"-21,106502","-44,250928",21.05502681886948,-44.250928
0,CO,MS,AGUA CLARA,"-20,44444","-52,87583",24.922552367941716,-52.87583
0,NE,BA,REMANSO,"-9,62555554","-42,07722221",26.483065710055804,-42.07722221
0,N,PA,ITAITUBA,"-4,27694443","-55,99305555",27.39405684754522,-55.99305555
0,SE,MG,AGUAS VERMELHAS,"-15,751536","-41,457787",21.50516540917005,-41.457787
0,SE,RJ,RIO DE JANEIRO - FORTE DE COPACABANA,"-22,98833333","-43,19055555",23.544817219817222,-43.19055555
0,SE,MG,SALINAS,"-16,16027777","-42,31027777",24.57131112072696,-42.31027777
0,SE,SP,LINS,"-21,66611111","-49,73472221",24.023854696899583,-49.73472221
0,CO,MT,VILA BELA DA SANTISSIMA TRINDADE,"-15,06277777","-59,87305554",26.052597402597403,-59.87305554
0,SE,MG,PIRAPORA,"-17,258064","-44,835556",24.048518476146892,-44.835556
0,NE,MA,CAROLINA,"-7,337269","-47,459839",27.507858120437955,-47.459839
0,NE,BA,BRUMADO,"-14,181886","-41,672281",24.41600227790433,-41.672281
0,SE,ES,ECOPORANGA,"-18,29138888","-40,73638888",25.99525322740814,-40.73638888
0,NE,PB,CABACEIRAS,"-7,483206","-36,286469",25.816996812386158,-36.286469
0,SE,MG,AIMORES,"-19,532768","-41,090801",24.86192762186115,-41.090801
0,CO,MS,RIBAS DO RIO PARDO,"-20,466694","-53,763028",24.556256404417628,-53.763028
0,N,TO,LAGOA DA CONFUSAO,"-10,828286","-49,847882",26.060701593488478,-49.847882
0,CO,MT,RONDONOPOLIS,"-16,4625","-54,58027777",26.739917200854702,-54.58027777
0,SE,SP,JOSE BONIFACIO,"-21,085675","-49,920388",23.98343677269201,-49.920388
0,NE,PI,GILBUES,"-9,875196","-45,345805",27.630105803142033,-45.345805
0,S,RS,TRAMANDAI,"-30,010268","-50,135887",19.513000910746815,-50.135887
0,N,TO,PARANA,"-12,615","-47,87194443",25.881709695926563,-47.87194443
0,NE,PB,AREIA,"-6,975451","-35,718128",22.818991233063873,-35.718128
0,N,TO,COLINAS DO TOCANTINS,"-8,092708","-48,478605",26.19264924095423,-48.478605
0,NE,BA,BELMONTE,"-16,08805555","-39,21527777",23.53735126130414,-39.21527777
0,N,PA,CASTANHAL,"-1,30083333","-47,94805555",26.58895335344627,-47.94805555
0,NE,BA,BOM JESUS DA LAPA,"-13,251094","-43,405365",26.29392048929664,-43.405365
0,SE,MG,MACHADO,"-21,680722","-45,944389",20.528727895037083,-45.944389
0,NE,CE,SOBRAL,"-3,74805555","-40,34583333",27.44117714025501,-40.34583333
0,NE,BA,GUANAMBI,"-14,20805555","-42,74972221",25.34597011268986,-42.74972221
0,S,RS,TORRES,"-29,35027777","-49,73333333",20.169970133043716,-49.73333333
0,CO,MT,BRASNORTE (NOVO MUNDO),"-12,52194443","-58,23138888",25.08058562555457,-58.23138888
0,CO,MT,GUIRATINGA,"-16,34166666","-53,76611111",26.764997094712374,-53.76611111
0,SE,SP,JALES,"-20,165","-50,59499999",25.420153521974715,-50.59499999
0,NE,MA,BARRA DO CORDA,"-5,50666666","-45,23694444",27.219228368085904,-45.23694444
0,CO,GO,CRISTALINA (FAZENDA SANTA MONICA),"-16,39944444","-47,62583332",21.49275395551479,-47.62583332
0,SE,MG,MANTENA,"-18,78062","-40,986505",23.862113461985583,-40.986505
0,NE,BA,ITAMARAJU,"-17,00694444","-39,55805555",24.54478068684121,-39.55805555
0,SE,MG,VICOSA,"-20,762607","-42,864013",20.103461231925312,-42.864013
0,SE,SP,BEBDOURO,"-20,94916666","-48,48999999",24.656461307287753,-48.48999999
0,CO,MT,ALTA FLORESTA,"-10,07722221","-56,17916666",24.95036889332004,-56.17916666
0,NE,SE,POCO VERDE,"-10,73805555","-38,10833333",24.334445016739632,-38.10833333
0,CO,MS,MIRANDA,"-20,39555555","-56,43166666",24.510939874104626,-56.43166666
0,NE,PE,IBIMIRIM,"-8,50944444","-37,71166666",25.4345514571949,-37.71166666
0,N,PA,CAMETA,"-2,239653","-49,499827",27.669914683430626,-49.499827
0,SE,MG,CAMPINA VERDE,"-19,53921","-49,518133",24.24020266423773,-49.518133
0,NE,RN,APODI,"-5,626559","-37,814991",27.627556782532313,-37.814991
0,S,RS,URUGUAIANA,"-29,83987","-57,081899",19.76463129385695,-57.081899
0,N,PA,TUCUMA,"-6,74333333","-51,14194444",25.808939589611132,-51.14194444
0,NE,BA,LUIZ EDUARDO MAGALHAES,"-12,152394","-45,829745",23.11917475728155,-45.829745
0,CO,MT,SORRISO,"-12,555107","-55,722863",25.975965957446807,-55.722863
0,NE,BA,MACAJUBA,"-12,13166666","-40,35416666",24.459732246798605,-40.35416666
0,CO,MT,SANTO ANTONIO DO LESTE,"-14,92777777","-53,8836111",24.725583791208788,-53.8836111
0,CO,GO,LUZIANIA,"-16,26055555","-47,96694443",21.948473338203065,-47.96694443
0,NE,BA,IRECE,"-11,328998","-41,864504",23.403142076502732,-41.864504
0,CO,MS,IGUATEMI,"-23,644481","-54,570289",22.999419266681848,-54.570289
0,SE,MG,GUANHAES,"-18,78694444","-42,94305555",20.643193296602387,-42.94305555
0,SE,SP,AVARE,"-23,10166666","-48,9411111",23.005701657458562,-48.9411111
0,SE,MG,CHAPADA GAUCHA,"-15,30027777","-45,61749999",22.782591743119266,-45.61749999
0,SE,RJ,PICO DO COUTO,"-22,46472222","-43,29138888",16.7177868852459,-43.29138888
0,NE,PB,MONTEIRO,"-7,89444444","-37,12472221",24.687635204372082,-37.12472221
0,S,RS,CRUZ ALTA,"-28,60344","-53,673597",18.849629629629625,-53.673597
0,CO,MT,SERRA NOVA DOURADA,"-11,98777777","-51,4261111",26.240599954201972,-51.4261111
0,N,TO,MATEIROS,"-10,434441","-45,921941",23.4168485493745,-45.921941
0,NE,PB,CAMPINA GRANDE,"-7,225574","-35,904831",24.051196717574655,-35.904831
0,SE,RJ,PARATI,"-23,2236111","-44,72694443",22.688206018518517,-44.72694443
0,S,RS,CAPAO DO LEAO (PELOTAS),"-31,8025","-52,40722222",18.247653223969014,-52.40722222
0,NE,CE,CRATEUS,"-5,186636","-40,672128",27.44625299418273,-40.672128
0,CO,MS,SIDROLANDIA,"-20,98166666","-54,97194443",24.22314435336977,-54.97194443
0,NE,CE,JAGUARIBE,"-5,90555555","-38,62777777",27.97941807774863,-38.62777777
0,CO,MT,GUARANTA DO NORTE,"-9,9525","-54,89777777",27.21824443376582,-54.89777777
0,NE,BA,CURACA,"-9,00138888","-39,9125",26.7024956471271,-39.9125
0,S,RS,SAO JOSE DOS AUSENTES,"-28,748615","-50,057869",13.870184426229509,-50.057869
0,S,PR,PARANAPOEMA,"-22,658273","-52,134526",23.712192871150076,-52.134526
0,NE,CE,IGUATU,"-6,39638888","-39,26888888",27.550233821089154,-39.26888888
0,S,SC,LAGES,"-27,802228","-50,335457",16.096992179667136,-50.335457
0,SE,SP,BARRETOS,"-20,55916666","-48,54499999",22.989251964021406,-48.54499999
0,N,PA,PACAJA,"-3,8436111","-50,63805555",26.137531359759155,-50.63805555
0,S,PR,ICARAIMA,"-23,39027777","-53,63583333",22.975632682574112,-53.63583333
0,N,AM,LABREA,"-7,26055555","-64,7886111",26.61855987239376,-64.7886111
0,SE,SP,REGISTRO,"-24,53305554","-47,86416666",25.569850039463297,-47.86416666
0,SE,RJ,ITATIAIA,"-22,373944","-44,703111",10.378463117090412,-44.703111
0,SE,RJ,ARRAIAL DO CABO,"-22,97527777","-42,02138888",23.734284404720984,-42.02138888
0,NE,MA,PREGUICAS,"-2,592341","-42,707553",26.901877934272296,-42.707553
0,SE,RJ,RIO CLARO,"-22,653579","-44,040916",21.16263581746133,-44.040916
0,S,PR,CLEVELANDIA,"-26,41722221","-52,3486111",18.259748427672957,-52.3486111
0,SE,SP,OURINHOS,"-22,949","-49,894546",21.406101938262747,-49.894546
0,N,PA,SOURE,"-,72777777","-48,51583333",25.982416666666666,-48.51583333
0,SE,ES,VENDA NOVA DO IMIGRANTE,"-20,38555555","-41,18999999",21.38851518908865,-41.18999999
0,NE,PE,PETROLINA,"-9,388323","-40,523262",26.845434881602912,-40.523262
0,NE,MA,BURITICUPU,"-4,320597","-46,449503",25.869753086419752,-46.449503
0,NE,BA,CORRENTINA,"-13,33249999","-44,61749999",23.991764437863083,-44.61749999
0,SE,SP,BAURU,"-22,358052","-49,028877",22.213831967213117,-49.028877
0,SE,SP,ITUVERAVA,"-20,35972222","-47,77527777",22.547877013177157,-47.77527777
0,SE,MG,CORONEL PACHECO,"-21,546728","-43,261029",24.057759030418246,-43.261029
0,NE,SE,CARIRA,"-10,39972221","-37,74749999",24.773702185792352,-37.74749999
0,NE,BA,BARRA,"-11,08472221","-43,13888888",26.84768897996357,-43.13888888
0,N,TO,CAMPOS LINDOS,"-8,15472222","-46,63944444",26.532454577841115,-46.63944444
0,NE,BA,SALVADOR,"-13,005515","-38,50576",25.88235428051002,-38.50576
0,S,SC,INDAIAL,"-26,913704","-49,267978",20.871247284783355,-49.267978
0,CO,MS,ANGELICA,"-22,148083","-53,763736",24.399897529318,-53.763736
0,N,PA,PLACAS,"-3,86404","-54,216416",26.152269938650306,-54.216416
0,CO,MT,GAUCHA DO NORTE,"-13,18472221","-53,2575",27.704099935938498,-53.2575
0,S,SC,RIO NEGRINHO,"-26,248411","-49,580624",16.922267759562843,-49.580624
0,N,PA,BREVES,"-1,680251","-50,478139",25.965488721804512,-50.478139
0,N,PA,SANTANA DO ARAGUAIA,"-9,338611","-50,35028",27.141974043715848,-50.35028
